,x,y
0,0.0,104.368512147
1,0.01,104.345343394
2,0.02,104.258207355
3,0.03,104.352606179
4,0.04,104.361458961
5,0.05,104.294037974
6,0.06,104.312825221
7,0.07,104.337139056
8,0.08,104.312759161
9,0.09,104.296019293
10,0.1,104.290182512
11,0.11,104.343369439
12,0.12,104.259710809
13,0.13,104.198448331
14,0.14,104.336629583
15,0.15,104.335278405
16,0.16,104.28085791
17,0.17,104.279803066
18,0.18,104.357225188
19,0.19,104.299143388
20,0.2,104.277434131
21,0.21,104.409597634
22,0.22,104.393689052
23,0.23,104.346634299
24,0.24,104.22460979
25,0.25,104.33444477
26,0.26,104.301415103
27,0.27,104.380195351
28,0.28,104.278079994
29,0.29,104.23380554
30,0.3,104.281618559
31,0.31,104.324242851
32,0.32,104.31010214
33,0.33,104.218183782
34,0.34,104.280471282
35,0.35,104.27445929
36,0.36,104.284649972
37,0.37,104.268053703
38,0.38,104.320098796
39,0.39,104.346472562
40,0.4,104.393888994
41,0.41,104.26581602
42,0.42,104.358347864
43,0.43,104.299649305
44,0.44,104.32915868
45,0.45,104.235166638
46,0.46,104.337573573
47,0.47,104.301677699
48,0.48,104.289424907
49,0.49,104.308592847
50,0.5,104.320048723
51,0.51,104.295228012
52,0.52,104.363557982
53,0.53,104.320983111
54,0.54,104.261498357
55,0.55,104.304016483
56,0.56,104.353558353
57,0.57,104.249713101
58,0.58,104.433171767
59,0.59,104.309998889
60,0.6,104.309361467
61,0.61,104.30953553
62,0.62,104.255235891
63,0.63,104.296435937
64,0.64,104.3674267
65,0.65,104.217229041
66,0.66,104.344585941
67,0.67,104.295073885
68,0.68,104.350322518
69,0.69,104.31908214
70,0.7,104.213680068
71,0.71,104.244654212
72,0.72,104.230870096
73,0.73,104.255176034
74,0.74,104.367942218
75,0.75,104.227824029
76,0.76,104.323609943
77,0.77,104.333034162
78,0.78,104.221526244
79,0.79,104.371852306
80,0.8,104.282722211
81,0.81,104.246721957
82,0.82,104.291467343
83,0.83,104.269255724
84,0.84,104.255820097
85,0.85,104.254594139
86,0.86,104.333963101
87,0.87,104.327101267
88,0.88,104.28290859
89,0.89,104.331663961
90,0.9,104.316393102
91,0.91,104.300759173
92,0.92,104.296785895
93,0.93,104.220584875
94,0.94,104.359704932
95,0.95,104.339250926
96,0.96,104.355367777
97,0.97,104.317266857
98,0.98,104.231629245
99,0.99,104.227498821
100,1.0,104.310771821
101,1.01,104.354871072
102,1.02,104.294276349
103,1.03,104.288656775
104,1.04,104.41126551
105,1.05,104.374839107
106,1.06,104.301238161
107,1.07,104.215894637
108,1.08,104.359626241
109,1.09,104.295345916
110,1.1,104.207127021
111,1.11,104.44240513
112,1.12,104.32740271
113,1.13,104.291584296
114,1.14,104.339896764
115,1.15,104.246638389
116,1.16,104.327646417
117,1.17,104.351538061
118,1.18,104.248647797
119,1.19,104.335439723
120,1.2,104.300629625
121,1.21,104.351136852
122,1.22,104.347262352
123,1.23,104.350319311
124,1.24,104.346656838
125,1.25,104.360371059
126,1.26,104.348617807
127,1.27,104.269306807
128,1.28,104.348203989
129,1.29,104.334886299
130,1.3,104.246661894
131,1.31,104.353842175
132,1.32,104.35523711
133,1.33,104.399689967
134,1.34,104.224109732
135,1.35,104.364474019
136,1.36,104.377737863
137,1.37,104.366550751
138,1.38,104.437713022
139,1.39,104.320288073
140,1.4,104.361016174
141,1.41,104.301006256
142,1.42,104.306213325
143,1.43,104.331661066
144,1.44,104.340392046
145,1.45,104.299389171
146,1.46,104.340687832
147,1.47,104.314890461
148,1.48,104.414443483
149,1.49,104.313758487
150,1.5,104.247006709
151,1.51,104.291466138
152,1.52,104.337482064
153,1.53,104.293627061
154,1.54,104.310712171
155,1.55,104.386623153
156,1.56,104.289819747
157,1.57,104.321175956
158,1.58,104.387883975
159,1.59,104.320517514
160,1.6,104.287518633
161,1.61,104.28023135
162,1.62,104.381075014
163,1.63,104.296397556
164,1.64,104.38466793
165,1.65,104.330684337
166,1.66,104.338937195
167,1.67,104.326063121
168,1.68,104.342182215
169,1.69,104.33220282
170,1.7,104.429269612
171,1.71,104.38024652
172,1.72,104.373378022
173,1.73,104.415975335
174,1.74,104.371416016
175,1.75,104.404280842
176,1.76,104.283531938
177,1.77,104.35160283
178,1.78,104.270930339
179,1.79,104.422510395
180,1.8,104.351570235
181,1.81,104.329644163
182,1.82,104.44198435
183,1.83,104.334060873
184,1.84,104.338567412
185,1.85,104.444674574
186,1.86,104.323322244
187,1.87,104.398887366
188,1.88,104.339359139
189,1.89,104.502386216
190,1.9,104.407897902
191,1.91,104.358269745
192,1.92,104.418108216
193,1.93,104.320079379
194,1.94,104.408448193
195,1.95,104.411382821
196,1.96,104.365137225
197,1.97,104.373858644
198,1.98,104.386367568
199,1.99,104.393132752
200,2.0,104.409229741
201,2.01,104.403265502
202,2.02,104.452995733
203,2.03,104.440568107
204,2.04,104.410831258
205,2.05,104.304212298
206,2.06,104.387777306
207,2.07,104.359718397
208,2.08,104.44536922
209,2.09,104.431899255
210,2.1,104.456176021
211,2.11,104.453630887
212,2.12,104.380714359
213,2.13,104.353989814
214,2.14,104.332630885
215,2.15,104.298560571
216,2.16,104.36834607
217,2.17,104.42786993
218,2.18,104.357858552
219,2.19,104.344811795
220,2.2,104.323438489
221,2.21,104.389083097
222,2.22,104.37991368
223,2.23,104.373148025
224,2.24,104.384146957
225,2.25,104.390563265
226,2.26,104.453137439
227,2.27,104.426520666
228,2.28,104.531677496
229,2.29,104.413523251
230,2.3,104.365157274
231,2.31,104.347274845
232,2.32,104.460365228
233,2.33,104.535331144
234,2.34,104.435193411
235,2.35,104.493243785
236,2.36,104.459174977
237,2.37,104.472600565
238,2.38,104.406145798
239,2.39,104.477395638
240,2.4,104.458056181
241,2.41,104.383228253
242,2.42,104.414167384
243,2.43,104.476268672
244,2.44,104.558483043
245,2.45,104.539726714
246,2.46,104.46769341
247,2.47,104.480145263
248,2.48,104.459828491
249,2.49,104.405694611
250,2.5,104.533759195
251,2.51,104.458215661
252,2.52,104.429704464
253,2.53,104.49206077
254,2.54,104.567006889
255,2.55,104.476190806
256,2.56,104.429945471
257,2.57,104.439747745
258,2.58,104.475473642
259,2.59,104.51501755
260,2.6,104.475910095
261,2.61,104.648276339
262,2.62,104.642256012
263,2.63,104.481492787
264,2.64,104.546046668
265,2.65,104.544224023
266,2.66,104.647109098
267,2.67,104.564288619
268,2.68,104.478410651
269,2.69,104.581277021
270,2.7,104.591523965
271,2.71,104.537423325
272,2.72,104.634054733
273,2.73,104.472355547
274,2.74,104.550838774
275,2.75,104.582312099
276,2.76,104.680663634
277,2.77,104.585376544
278,2.78,104.499570901
279,2.79,104.641122575
280,2.8,104.602769959
281,2.81,104.632729808
282,2.82,104.610397903
283,2.83,104.540267175
284,2.84,104.675530226
285,2.85,104.51199334
286,2.86,104.631752815
287,2.87,104.457700726
288,2.88,104.660707648
289,2.89,104.542288494
290,2.9,104.626909611
291,2.91,104.594988394
292,2.92,104.595204429
293,2.93,104.697949787
294,2.94,104.540499052
295,2.95,104.553952233
296,2.96,104.628031839
297,2.97,104.583580311
298,2.98,104.748493825
299,2.99,104.640247856
300,3.0,104.728963448
301,3.01,104.750809272
302,3.02,104.685535333
303,3.03,104.594018161
304,3.04,104.630382532
305,3.05,104.720173344
306,3.06,104.659835515
307,3.07,104.669314378
308,3.08,104.683288132
309,3.09,104.756329482
310,3.1,104.62013582
311,3.11,104.704145299
312,3.12,104.691920285
313,3.13,104.662106162
314,3.14,104.809288056
315,3.15,104.738400806
316,3.16,104.716329598
317,3.17,104.764868173
318,3.18,104.672696318
319,3.19,104.688560024
320,3.2,104.764289784
321,3.21,104.675518808
322,3.22,104.733653975
323,3.23,104.663973845
324,3.24,104.645157339
325,3.25,104.678081686
326,3.26,104.771672101
327,3.27,104.741165047
328,3.28,104.687043489
329,3.29,104.721166224
330,3.3,104.715265624
331,3.31,104.733893188
332,3.32,104.739976642
333,3.33,104.717358882
334,3.34,104.835014853
335,3.35,104.777355052
336,3.36,104.671243228
337,3.37,104.732571696
338,3.38,104.687164885
339,3.39,104.72788642
340,3.4,104.810186295
341,3.41,104.666391145
342,3.42,104.852459783
343,3.43,104.693766291
344,3.44,104.752527367
345,3.45,104.790629948
346,3.46,104.789854548
347,3.47,104.807528173
348,3.48,104.776645699
349,3.49,104.757966384
350,3.5,104.782302669
351,3.51,104.722989761
352,3.52,104.753556334
353,3.53,104.699396538
354,3.54,104.68361606
355,3.55,104.876227704
356,3.56,104.700817754
357,3.57,104.745287754
358,3.58,104.818567304
359,3.59,104.88672873
360,3.6,104.668898079
361,3.61,104.769628144
362,3.62,104.809859085
363,3.63,104.789456369
364,3.64,104.78199042
365,3.65,104.729790943
366,3.66,104.814791097
367,3.67,104.839681994
368,3.68,104.830181358
369,3.69,104.883646114
370,3.7,104.811473938
371,3.71,104.811628349
372,3.72,104.753170162
373,3.73,104.818855979
374,3.74,104.741281154
375,3.75,104.8064869
376,3.76,104.743931664
377,3.77,104.814504741
378,3.78,104.829391346
379,3.79,104.734600334
380,3.8,104.87668185
381,3.81,104.802891398
382,3.82,104.745420839
383,3.83,104.780827179
384,3.84,104.778058569
385,3.85,104.749567317
386,3.86,104.713142564
387,3.87,104.727528286
388,3.88,104.850855682
389,3.89,104.696449097
390,3.9,104.767456133
391,3.91,104.74566573
392,3.92,104.750619981
393,3.93,104.773100112
394,3.94,104.804595426
395,3.95,104.84588345
396,3.96,104.721344675
397,3.97,104.684725831
398,3.98,104.769084839
399,3.99,104.736894665
400,4.0,104.755326274
401,4.01,104.71872799
402,4.02,104.811158049
403,4.03,104.787832925
404,4.04,104.736918127
405,4.05,104.666249084
406,4.06,104.806341618
407,4.07,104.573548252
408,4.08,104.728001378
409,4.09,104.719070384
410,4.1,104.741108647
411,4.11,104.7658419
412,4.12,104.754300535
413,4.13,104.695213707
414,4.14,104.767194653
415,4.15,104.632293347
416,4.16,104.733971352
417,4.17,104.750063526
418,4.18,104.671298654
419,4.19,104.650082133
420,4.2,104.642692692
421,4.21,104.648883852
422,4.22,104.684414287
423,4.23,104.663360562
424,4.24,104.736593569
425,4.25,104.728460535
426,4.26,104.729607011
427,4.27,104.70506099
428,4.28,104.721330215
429,4.29,104.610376419
430,4.3,104.617935269
431,4.31,104.685608185
432,4.32,104.657274678
433,4.33,104.640661416
434,4.34,104.775438954
435,4.35,104.653291029
436,4.36,104.651121411
437,4.37,104.590903179
438,4.38,104.577590511
439,4.39,104.590424067
440,4.4,104.689154335
441,4.41,104.599306567
442,4.42,104.646760512
443,4.43,104.664969791
444,4.44,104.598017627
445,4.45,104.545228246
446,4.46,104.712905595
447,4.47,104.587062166
448,4.48,104.696550519
449,4.49,104.586724374
450,4.5,104.549670306
451,4.51,104.61315238
452,4.52,104.57133077
453,4.53,104.66144046
454,4.54,104.499452036
455,4.55,104.581762717
456,4.56,104.613528657
457,4.57,104.628781399
458,4.58,104.506135289
459,4.59,104.580220444
460,4.6,104.556748803
461,4.61,104.560324881
462,4.62,104.627558378
463,4.63,104.582556957
464,4.64,104.577561891
465,4.65,104.602168461
466,4.66,104.502169133
467,4.67,104.614737475
468,4.68,104.529163733
469,4.69,104.604496623
470,4.7,104.499331186
471,4.71,104.427428096
472,4.72,104.607388091
473,4.73,104.484877829
474,4.74,104.526517367
475,4.75,104.596898582
476,4.76,104.559224442
477,4.77,104.503499308
478,4.78,104.566143864
479,4.79,104.465870096
